"Edad","Area_Academica","Hrs de Sueño","Ingreso_Mensual","Tiempo_Traslado_Min","Transporte","Trabajo","Número de comidas","Hrs de estudio","Hrs en Redes","Materias inscritas","Promedio","Nivel de estres","Metodo de estudio","Nivel de interes","Area de interes","Categoria_Predominante","Transp_a_pie","Transp_por_app","Transp_publico","Transp_propio"
"22","Exactas e Ingenierías","8","42400","7.5","A pie","0","2","2","5","4","8.7","3","0","3","Probabilidad y estadística","Exactas y Métodos","1","0","0","0"
"21","Exactas e Ingenierías","8","16960","52.5","Transporte público (Autobús, Metro, etc.)","0","4","1","3","5","7","4","1","3","Matemáticas","Exactas y Métodos","0","0","1","0"
"23","Exactas e Ingenierías","8","42400","30","Vehículo propio (Automóvil/Motocicleta)","0","4","1","2","6","9.25","1","0","4","Finanzas","Exactas y Métodos","0","0","0","1"
"20","Artes y Diseño","8","16960","52.5","Transporte público (Autobús, Metro, etc.)","0","2","2","5","4","9","4","0","5","Comunicación","Diseño y Artes","0","0","1","0"
"21","Artes y Diseño","5","8480","30","Transporte público (Autobús, Metro, etc.)","0","2","1","2","9","8.34","5","0","3","Artes","Diseño y Artes","0","0","1","0"
"19","Artes y Diseño","6","8480","30","Transporte público (Autobús, Metro, etc.)","0","1","5","3","9","9.6","5","1","5","Diseño gráfico","Diseño y Artes","0","0","1","0"
"19","Exactas e Ingenierías","8","25440","30","Transporte público (Autobús, Metro, etc.)","0","3","1","5","5","7","4","0","3","Finanzas","Exactas y Métodos","0","0","1","0"
"21","Económico-Administrativas","6","8480","30","Transporte público (Autobús, Metro, etc.)","0","2","1","5","5","8.4","3","1","4","Historia","Sociales y Humanidades","0","0","1","0"
"20","Artes y Diseño","8","16960","30","Transporte público (Autobús, Metro, etc.)","0","3","1","3","7","9.2","2","1","5","Diseño gráfico","Otras/Multidisciplinar","0","0","1","0"
"21","Exactas e Ingenierías","5","42400","30","Transporte público (Autobús, Metro, etc.)","0","2","1","3","4","7.8","2","1","4","Probabilidad y estadística","Exactas y Métodos","0","0","1","0"
"21","Exactas e Ingenierías","8","25440","7.5","A pie","0","2","2","4","6","9.1","4","0","5","Finanzas","Exactas y Métodos","1","0","0","0"
"19","Exactas e Ingenierías","7","42400","52.5","Transporte por aplicación (Uber, Didi, Taxi)","0","3","2","5","5","8.2","4","1","4","Probabilidad y estadística","Exactas y Métodos","0","1","0","0"
"21","Exactas e Ingenierías","6","25440","30","Transporte público (Autobús, Metro, etc.)","1","3","3","2","6","9","4","0","3","Finanzas","Exactas y Métodos","0","0","1","0"
"20","Sociales y Humanidades","5","8480","30","Transporte público (Autobús, Metro, etc.)","0","3","4","4","7","9","5","0","5","Comunicación","Salud y Biológicas","0","0","1","0"
"22","Exactas e Ingenierías","7","16960","7.5","A pie","0","3","2","5","5","8.5","4","0","5","Finanzas","Exactas y Métodos","1","0","0","0"
